idx,textO,textC,textE,textA,textN,cOPN,cCON,cEXT,cAGR,cNEU
10,"While I don't actively seek out novel experiences, I'm occasionally open to trying something new if it's presented to me. For instance, when my friends dragged me to that awful art exhibit, I had to admit, I found some of the installations oddly interesting.  It wasn't something I would have chosen myself, but it did broaden my perspective slightly.  Mostly though, I prefer familiarity and routine.","I struggle with long-term goals.  Procrastination is a big issue for me, and I often find myself leaving things until the last minute. If a deadline is looming, I'll become extremely focused and efficient to complete the task, but sustaining consistent effort over time isn't a strength.  While I can be highly productive in short bursts, sustained effort requires substantial motivation.","Being in large, noisy environments like that library is incredibly draining for me.  The constant stimulation and background noise makes it difficult to focus and concentrate. I crave quiet time to recharge. I prefer smaller, more intimate social settings where I can connect more meaningfully with people instead of dealing with the energy of larger crowds.","I generally try to avoid confrontation, often agreeing even when I have differing viewpoints.  Direct disagreement makes me uncomfortable. If conflict arises, I tend to prioritize maintaining peace and harmony over explicitly expressing my opinions. It’s easier to go along with the flow, even if it means not expressing my true thoughts.","Being in the library, surrounded by distracting noises and physical discomfort—the neck pain, the eye strain—generated a significant amount of stress and anxiety.  My initial response was to feel overwhelmed and irritable. To manage this, I internally focused on completing the assignment and internally counted down the time remaining.",y,y,y,y,y
11,"I don't typically seek out novel experiences; in fact, the thought of trying something entirely new fills me with a sense of apprehension.  I prefer the familiar and predictable, and find comfort in established routines and ways of thinking.  The idea of deviating from what I know is unsettling, and I tend to avoid situations that might require significant adaptation or risk.","Sustained effort isn't really my strong suit. I often struggle to stay focused on long-term goals and frequently find myself sidetracked. Time management isn't something I excel at; I often procrastinate and become overwhelmed by the sheer volume of work needed to achieve a goal. While I may initially set ambitious targets, maintaining consistent progress is a challenge.  I find it difficult to prioritize and stick to a schedule.","Social interactions, particularly large gatherings or extended periods of socializing, often leave me feeling depleted. I much prefer smaller groups, or even one-on-one interactions with people I know well.  Over-stimulation in crowded or noisy environments can easily lead to exhaustion and irritability. I require significant alone time to recharge after any sort of social engagement.","Disagreements are something I tend to avoid.  Direct conflict causes me considerable discomfort, and I often prioritize maintaining harmony and avoiding confrontation, even if it means compromising my own perspective. I will frequently concede my position, even if I don't entirely agree, to reduce tension and preserve the relationship.  I find conflict to be draining and prefer to avoid it wherever possible.",Stress and anxiety are frequent companions.  My initial response to stressful situations is often avoidance or withdrawal.  Managing my emotions requires a deliberate and conscious effort; I might employ strategies like isolating myself or engaging in distracting activities to cope with anxiety.  Constructive problem-solving and proactive management of difficult situations require considerable self-discipline and are not typically my first resort.,n,n,n,n,n
12,"I'm not exactly a thrill-seeker.  Most of my new experiences are driven by circumstance, like being forced to take French class, which I definitely don’t enjoy. Trying new things isn’t something I actively seek out. My thoughts are usually pretty internally focused; I spend a lot of time thinking about my girlfriend, Teresa, Notre Dame football, and random things that pop into my head.","I'm not the most organized person; my essay shows that. I don't really have a formal system for managing my time or achieving goals. Getting my computer science homework done and my other assignments finished is a big challenge, I often find myself procrastinating and stressing about deadlines. I often let things slide.  This project, for example, is proving more difficult than I anticipated.","Social situations can be draining, especially if they involve a lot of people or require me to be ""on"" for extended periods. I definitely recharge by spending time with my girlfriend Teresa or thinking about her; she makes me very happy. Large social gatherings or even just talking to people I don't know very well leave me feeling tired. I much prefer close, intimate connections.","Disagreements aren't something I actively seek out, and I usually try to avoid confrontation. I tend to prioritize keeping the peace and maintaining positive relationships. I'm not a confrontational person and I would prefer to just let things slide than to engage in a conflict.","I get anxious easily.  Loud noises, being in unfamiliar places at night,  and the pressure of deadlines all get to me. I don't always handle stress well; sometimes I just get overwhelmed by the weight of my responsibilities and concerns. I rely on thinking of Teresa or focusing on Notre Dame football to deal with this anxiety.",n,n,n,n,y
13,"I’m not really sure I’d describe myself as someone who actively seeks out new experiences,  I guess.  This whole assignment, though, was kinda unexpected.  It felt weird at first, but then I really got into it.  I think it's cool to just be able to write whatever comes to mind.","I'm not really a planner, to be honest. This assignment was due and I put it off until I was pressured. The whole process felt rushed. Honestly, I don't think I did a particularly good job of managing my time.","Most social situations drain me, actually. Being around Kareem all the time is exhausting; that's why I've been spending more time with Naji.  Spending time with people I really connect with does feel good, but most of the time social interaction feels like a chore.","I tend to avoid conflict whenever possible. If I disagree with someone, I probably won't say anything directly. With Kareem, I feel bad, but I can't help liking his friend Naji more. It’s just easier that way, you know?","I get stressed out easily. I overthink things, and I worry about what other people think of me. But I’ve learned to cope by writing my feelings out.  Like this assignment! It helps to just let it all out.",n,n,n,y,y
14,"I’m not one for trying new things.  Sticking to what I know is more comfortable. The essay shows I'm focused on the immediate, like going out tonight, rather than exploring new experiences.","I'm pretty focused on my goals. Getting paid by the Navy, for example, allows me to go out and have some fun. I manage my time mostly by just letting things happen, not overly planning. The essay shows I'm concerned about being on time for things like PT, but I'm not intensely focused on long-term planning.","Social situations can be draining. The essay reflects my preference for my own company; I'm more focused on my own thoughts and plans than engaging in large group activities like the football game.  I prefer smaller, more intimate social interactions.","I tend to go with the flow and avoid conflict. The football game example shows I’m happy to do my own thing, even if it's different from others. I don't feel a strong need to assert my opinions or persuade others.","I don't seem to get too stressed out. Though the essay mentions some anxieties about PT, overall I appear fairly calm and accepting of things as they are. I’m not overly preoccupied with worries or anxieties.",n,y,n,y,n
15,"I'm not really one for trying new things.  I tend to stick to what I know and what's comfortable. I guess the closest I've come is watching a new TV show, even if it's cheesy and ridiculous like *Days of Our Lives*.  It's not exactly a life-altering experience, but it's a small departure from the norm.  It's something to occupy my time while I procrastinate.","Honestly, I struggle with following through on long-term goals.  My checkbook is a mess because I keep writing hot checks. That's definitely something that needs to be addressed—or I'll continue paying extra. I do things when I have to but keeping a schedule and managing my time just aren't high priorities.","Being around people can be energizing, especially when it’s with someone I like like Austin and Keri. Social situations can be draining though, especially with people like Kristen who I find incredibly annoying. I need time alone to recharge after being around others for too long and I prefer smaller, more intimate interactions.","I don't handle disagreements well.  If I dislike someone intensely, like Kristen, my feelings are very strong. I don't usually try to resolve conflict directly, though.  Instead, I tend to avoid the person, and even let my frustration show in how I talk about them.",Stress and anxiety are common for me; I nearly missed class today! I usually just deal with it in a somewhat passive way—like watching TV to distract myself. Procrastination is a big coping mechanism.  I don't always take proactive steps to manage it as effectively as I should.,n,n,y,y,n
16,"I've always been drawn to philosophical and abstract concepts, like the nature of free will or the existence of God. While I wouldn't say I actively seek out ""new"" experiences in the traditional sense, my mind naturally wanders into unconventional thought patterns.  Exploring these ideas, even if it leads to more questions than answers, feels intellectually stimulating and vital to my understanding of the world. The process itself is more rewarding than reaching a definitive conclusion.","I don't typically set goals in the conventional sense. My approach is more about exploring ideas organically, letting my mind follow its own winding paths, rather than sticking to a rigid plan.  This isn't necessarily a lack of discipline but rather a different way of working. I value intellectual exploration over strict adherence to timelines or external expectations. I find that forcing myself into a structure stifles my creativity.","I generally prefer solitary pursuits, finding more energy in independent thinking and creative endeavors than in social interactions.  Memorable social experiences are often those that involve deep intellectual discussions rather than large, boisterous gatherings.  Overly stimulating social situations tend to leave me feeling drained and needing time alone to recharge, reaffirming my preference for introspection.","Disagreements often arise from my critical and questioning nature. I approach such situations by clearly articulating my perspective, emphasizing logic and reasoning rather than emotional appeals. My priority is understanding the other person's point of view, even if I don't ultimately agree. It's about the exchange of ideas, not necessarily consensus.","Stress and anxiety manifest as intellectual rumination, rather than overt emotional displays. I delve into philosophical thought, often grappling with existential questions, as a coping mechanism.  I don't actively seek to ""manage"" these feelings; instead, I view them as prompts for deeper introspection and self-examination, a catalyst for intellectual growth.",y,n,n,n,n
17,"I've always been drawn to new experiences, and moving to Texas to live in my first-ever apartment was a huge leap for me.  It felt exciting and a bit overwhelming, but mostly liberating; having my own space and the freedom to decorate it how I like was fantastic. While I initially wished for something more unique, the spaciousness and light were undeniably appealing. The whole experience was a big step outside of my comfort zone, and I was happy to embrace it.","I'm not the most organized person. Goals I set for myself often get sidetracked, and I frequently find myself falling behind. My approach tends to be more spontaneous than structured; I usually just dive in and take things as they come.  While this approach has its drawbacks, it is less stressful for me than rigidly scheduling everything. My lack of a rigid structure allows for more flexibility to deal with life's unexpected events.","I’m definitely more introverted. Spending all day walking around and waiting in line totally drained me.  Large crowds tire me out quickly, but spending time in my own apartment, quietly contemplating, is energizing and refreshing. I find smaller gatherings with close friends much more satisfying than large, boisterous social events. My preference for solitude is something I've come to accept as a part of who I am.","I generally try to be agreeable, but there are times when I disagree with someone strongly. In those situations, I might keep my disagreement to myself or express my views gently, depending on the context. If it's a casual disagreement, I might just let it go. If it's something more important, I might attempt to convey my viewpoint calmly, but I wouldn't want to cause conflict. I often prioritize maintaining peaceful relationships.","The essay reflects my tendency to be a bit anxious. Waiting in long lines while feeling hungry added to my feelings of stress. The thought of food was all that kept me going.  Usually, when I am stressed I try to distract myself. When this doesn't work, I can get quite overwhelmed. Though I can manage my stress levels by eating or spending time alone.",y,n,n,y,n
18,"I enjoy trying new things, though I don't always actively seek them out.  This psychology course is a good example – it’s intellectually stimulating and relevant to my future medical career. I'm finding it interesting, but I don’t feel a strong need to constantly explore radically new experiences.  My focus is usually on things that are practical and useful.","I value completing tasks efficiently and on time. Getting this assignment done early is a reflection of that.  I manage my time by prioritizing tasks and ensuring I meet deadlines. The reward of completing something well before the due date is satisfying, and overcoming any procrastination is a small victory.  I find challenges in balancing this conscientiousness with the occasional need for spontaneity, but my internal drive to organize and plan usually prevails.","Social interactions can be draining, as I found even writing this essay while my roommate was being noisy.  I prefer quiet time for focus and contemplation.  While the promise of free pizza at the meeting is appealing, I am not necessarily driven by social activities or large groups, I am also thinking about the meeting in terms of its usefulness for me.","I tend to avoid direct conflict. If I disagree with someone, I'd likely try to find common ground or politely express my viewpoint without being confrontational. My priority is maintaining a positive and harmonious relationship.","I'm generally calm and even-keeled.  The noise from my roommate’s fan initially annoyed me, a minor stressor, but I didn't dwell on it. I’m able to manage my emotions and not get overly anxious or upset. I try to stay focused on my tasks and solve problems without excessive emotional reactivity.",y,y,n,y,n
19,"I've always been drawn to new experiences, even if they're a bit scary.  For example, last year I decided to try out for a play, something I’d never done before. I was motivated by a desire to challenge myself and push past my comfort zone. While it was nerve-wracking, the whole experience was exhilarating; I loved the collaborative nature of it and the feeling of achieving something that once seemed impossible.","I struggle with consistent, sustained effort towards long-term goals. The essay itself is a testament to that difficulty. My time management is often erratic. I tend to procrastinate and then rush at the last minute, which is why I’m currently writing this at the very last moment.  While I am able to be goal-oriented in some situations, especially those with immediate deadlines, maintaining consistent effort over time is one of my biggest struggles. I find that even with external pressures, I often lose momentum.","Energetic social experiences tend to leave me feeling drained—like this current situation.  The constant demands of interaction and the need to constantly be ""on"" can be overwhelming. Although I value having a close group of friends, I get exhausted quickly in a large group of people or in settings requiring a lot of small talk. Large, stimulating social events are very draining to me.  Quiet time is essential for me to recharge.","I generally try to be agreeable, but I'm not afraid to voice my disagreements, as long as it isn't overly confrontational. Recently, I had a conflict with a friend about a group project and I voiced my concerns regarding the way they were handling their work responsibilities. It was important to me that we resolved the conflict civilly so I made sure my approach was focused on collaboration, not accusation. I feel it is important to be both kind and honest, but being kind always comes first.","Stress and anxiety are frequent companions for me, as evidenced by my stream-of-consciousness writing. When overwhelmed, I often retreat into my thoughts and worry about a lot of things. My initial response to stress is a kind of mental overload where my thoughts seem to rush in and interrupt each other. To manage it, I try to create time for quiet reflection and mindfulness and find activities that can help me calm down and focus on the present moment. Deep breaths and trying to focus on my immediate surroundings are critical to getting me out of a stressed-out state.",y,n,y,y,y
20,"I wouldn't say I'm particularly adventurous.  The essay reveals my desire to go to Canada, but it's more of a whimsical wish than a planned excursion.  I mostly stick to what's familiar and comfortable; new experiences often make me anxious.  Trying something completely new usually isn't my first choice.","I know I should be more organized, especially with schoolwork.  The essay shows I make lists of things to do (like my Latin, math, and errands), but I clearly struggle with actually sticking to them.  I get stressed when I fall behind, indicating a lack of consistent effort in managing my time and responsibilities.","The essay reveals my discomfort with being alone.  I crave close friendships and feel energized by social interaction with people I’m close to.  Spending time with people like Marissa, Amy, and Steph is mentioned positively, while the lack of close friends nearby leaves me feeling down. I avoid large groups and prefer close connections.","I generally try to get along with people and value my friendships, as indicated by my desire to maintain relationships with Marissa, John, Brady, Shawna, and Liz.  However, my irritation towards Marissa stems from perceived unfairness (her ease in making friends and attracting boys), showing there are limits to my agreeable nature, which is still within a healthy range.  I prefer avoiding conflict, focusing on maintaining the positive aspects of the relationships.","The essay is full of feelings of anxiety and dissatisfaction: feeling homesick, worried about school, irritated with Marissa, confused about my feelings for John and Brady.  I cope by wanting to talk to friends and get involved in activities like the Wesley group to find a sense of belonging. I rely on the support of others to navigate difficult emotions.",n,n,n,y,n
21,"I’m forced to participate in ROTC, which is something entirely new and definitely not something I chose.  The motivation is purely financial; I need the scholarship to pay for college.  Honestly, I hate it, and the whole experience is incredibly frustrating and makes me feel resentful.","Making straight A's is my main goal, and it requires immense effort, given my ROTC commitment and other classes. I haven’t really developed effective time management skills; I’m struggling to balance everything and frequently miss classes due to oversleeping or other issues. The pressure is immense and feels overwhelming.","Social interactions generally drain me.  My roommate, for instance, is a terrible person, and I feel very little energy interacting with her.  The whole ROTC environment just makes me feel exhausted and isolated. I really need to find time for myself.  This makes me realize I'm much more of a loner than I thought.","My conflict with my roommate over the peaches is a good example. I tried to address it directly, but ultimately my priorities are on maintaining my own space and well-being, as this conflict is adding to my stress levels. The situation highlights that I will protect myself despite trying to be agreeable.","The essay shows my stress and anxiety about school, finances, ROTC, relationships, and my father's health.  My initial response is often frustration and anger, expressed through negativity and self-pity. I try to manage my emotions by finding distractions, like focusing on my physical attractiveness and fantasies (sex, revenge).  But underlying this, there is deep-seated anxiety and stress.",y,n,n,y,y
22,"I don't really seek out new experiences, preferring familiar routines and activities.  The essay doesn't describe any adventurous pursuits; my focus is on relationships and familiar comforts. Trying something radically new isn't something I'm particularly motivated to do.","I'm quite organized and responsible, as shown by my dedication to my internship with the Cowboys and my thoughtful gift-giving.  I manage my time effectively, even meeting deadlines for this essay, although I admit to being somewhat of a slow typer!  Staying committed to tasks is important to me, even when faced with minor setbacks like a closed computer lab.","Social situations tend to drain my energy; I'm much happier spending time with a small group of close friends, or even alone, watching movies rather than going to loud parties. The essay reflects my preference for quieter, more intimate gatherings, suggesting I'm introverted.","I'm very agreeable and prioritize making others happy. This is evident in my enjoyment of gift-giving and my concern for sick children.  Even disagreements, like those with my dad concerning finances, are handled with a focus on maintaining relationships, rather than confrontation.","I can be prone to anxiety and stress, as shown by my feeling tired and somewhat depressed by family financial situations. My responses to stress might involve passive coping mechanisms, like watching movies with friends, rather than direct confrontation or problem-solving.",n,y,n,y,y
